# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cpu-clock'
# Event count (approx.): 15082082067
#
# Overhead  Symbol                                                 IPC   [IPC Coverage]
# ........  .....................................................  ....................
#
     0.02%  [.] sre_ucs1_match.lto_priv.0                          -      -            
     0.02%  [.] subtype_traverse.lto_priv.0                        -      -            
     0.02%  [.] tailmatch.lto_priv.0                               -      -            
     0.02%  [.] take_gil                                           -      -            
     0.02%  [.] tok_nextc                                          -      -            
     0.02%  [.] tuplegetter_descr_get.lto_priv.0                   -      -            
     0.02%  [.] tupleslice                                         -      -            
     0.02%  [.] type_new.lto_priv.0                                -      -            
     0.02%  [.] unicode_compare_eq                                 -      -            
     0.02%  [k] 0xffffffff8256b216                                 -      -            
     0.02%  [k] 0xffffffff8268fcda                                 -      -            
     0.02%  [k] 0xffffffff826b9a50                                 -      -            
     0.02%  [k] 0xffffffff826d0644                                 -      -            
     0.02%  [k] 0xffffffff826dea1d                                 -      -            
     0.01%  [.] OPENSSL_strcasecmp                                 -      -            
     0.01%  [.] PyArg_ParseTupleAndKeywords                        -      -            
     0.01%  [.] PyErr_CheckSignals                                 -      -            
     0.01%  [.] PyLineTable_NextAddressRange                       -      -            
     0.01%  [.] PyList_New                                         -      -            
     0.01%  [.] PyLong_AsLong                                      -      -            
     0.01%  [.] PyLong_FromString                                  -      -            
     0.01%  [.] PyMethod_New                                       -      -            
     0.01%  [.] PyNumber_Float                                     -      -            
     0.01%  [.] PyObject_CallFinalizer                             -      -            
     0.01%  [.] PyObject_GenericSetAttr                            -      -            
     0.01%  [.] PyObject_SelfIter                                  -      -            
     0.01%  [.] PySequence_Contains                                -      -            
     0.01%  [.] PyTraceBack_Here                                   -      -            
     0.01%  [.] PyTuple_Pack                                       -      -            
     0.01%  [.] PyType_Ready                                       -      -            
     0.01%  [.] PyUnicode_Append                                   -      -            
     0.01%  [.] PyUnicode_DecodeUTF8                               -      -            
     0.01%  [.] PyVectorcall_Call                                  -      -            
     0.01%  [.] _PyDict_MergeEx                                    -      -            
     0.01%  [.] _PyDict_NewPresized                                -      -            
     0.01%  [.] _PyDict_Pop                                        -      -            
     0.01%  [.] _PyDict_Pop_KnownHash                              -      -            
     0.01%  [.] _PyErr_GetTopmostException                         -      -            
     0.01%  [.] _PyErr_Restore                                     -      -            
     0.01%  [.] _PyErr_SetObject                                   -      -            
     0.01%  [.] _PyMem_DebugRawCalloc                              -      -            
     0.01%  [.] _PyObject_GC_NewVar                                -      -            
     0.01%  [.] _PyObject_GC_Resize                                -      -            
     0.01%  [.] _PyObject_GetAttrId                                -      -            
     0.01%  [.] _PyObject_LookupAttrId                             -      -            
     0.01%  [.] _PyObject_VectorcallTstate                         -      -            
     0.01%  [.] _PyPegen_update_memo                               -      -            
     0.01%  [.] _PyTuple_Resize                                    -      -            
     0.01%  [.] _PyType_LookupId                                   -      -            
     0.01%  [.] _PyUnicodeWriter_Update.lto_priv.0                 -      -            
     0.01%  [.] _PyUnicodeWriter_WriteStr                          -      -            
     0.01%  [.] _PyUnicode_FastCopyCharacters                      -      -            
     0.01%  [.] _PyUnicode_XStrip                                  -      -            
