# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 621K of event 'cpu-clock'
# Event count (approx.): 621702702081
#
# Overhead  Symbol                                                 IPC   [IPC Coverage]
# ........  .....................................................  ....................
#
     0.00%  [.] _PyUnicode_JoinArray                               -      -            
     0.00%  [.] all_name_chars                                     -      -            
     0.00%  [.] check_args_iterable.lto_priv.0                     -      -            
     0.00%  [.] dict_init.lto_priv.0                               -      -            
     0.00%  [.] dict_new.lto_priv.0                                -      -            
     0.00%  [.] do_call_core.lto_priv.0                            -      -            
     0.00%  [.] list_sort.lto_priv.0                               -      -            
     0.00%  [.] long_neg.lto_priv.0                                -      -            
     0.00%  [.] r_long                                             -      -            
     0.00%  [k] 0xffffffff82d58f9e                                 -      -            
     0.00%  [.] 0x0000000000022280                                 -      -            
     0.00%  [.] BaseException_set_tb.lto_priv.0                    -      -            
     0.00%  [.] PyCell_New                                         -      -            
     0.00%  [.] PySequence_List                                    -      -            
     0.00%  [.] _PyErr_CreateException                             -      -            
     0.00%  [.] _PyMem_RawFree                                     -      -            
     0.00%  [.] _PyObject_New                                      -      -            
     0.00%  [.] _PyPegen_is_memoized                               -      -            
     0.00%  [.] _PySlice_FromIndices                               -      -            
     0.00%  [.] __GI___fstatat64                                   -      -            
     0.00%  [.] cm_descr_get.lto_priv.0                            -      -            
     0.00%  [.] list_vectorcall.lto_priv.0                         -      -            
     0.00%  [.] tuple_new_impl                                     -      -            
     0.00%  [.] unicode_dealloc.lto_priv.0                         -      -            
     0.00%  [.] unicode_fill_invalid.lto_priv.0                    -      -            
     0.00%  [.] 0x0000000000022d00                                 -      -            
     0.00%  [.] PyLong_AsLong                                      -      -            
     0.00%  [.] _PyDict_MaybeUntrack                               -      -            
     0.00%  [.] _PyErr_Restore                                     -      -            
     0.00%  [.] _PyTuple_ClearFreeList                             -      -            
     0.00%  [.] _PyUnicode_EqualToASCIIString                      -      -            
     0.00%  [.] _copy_characters                                   -      -            
     0.00%  [.] ascii_decode.lto_priv.0                            -      -            
     0.00%  [.] defdict_init                                       -      -            
     0.00%  [.] range_iter.lto_priv.0                              -      -            
     0.00%  [.] slotptr                                            -      -            
     0.00%  [.] validate_step                                      -      -            
     0.00%  [k] 0xffffffff826d281d                                 -      -            
     0.00%  [.] BaseException_clear.lto_priv.0                     -      -            
     0.00%  [.] PyObject_GC_Track                                  -      -            
     0.00%  [.] _PyDict_DelItem_KnownHash                          -      -            
     0.00%  [.] _PyLong_Sign                                       -      -            
     0.00%  [.] _PyObjectDict_SetItem                              -      -            
     0.00%  [.] delitem_common                                     -      -            
     0.00%  [.] dictitems_iter.lto_priv.0                          -      -            
     0.00%  [.] get_len_of_range                                   -      -            
     0.00%  [.] intern_string_constants                            -      -            
     0.00%  [.] intern_strings                                     -      -            
     0.00%  [.] list___init___impl                                 -      -            
     0.00%  [.] list_pop.lto_priv.0                                -      -            
     0.00%  [.] object_init.lto_priv.0                             -      -            
     0.00%  [.] reverse_slice                                      -      -            
     0.00%  [.] tb_traverse.lto_priv.0                             -      -            
     0.00%  [.] unicode_fromformat_arg                             -      -            
     0.00%  [k] 0xffffffff8268fcda                                 -      -            
     0.00%  [.] PyNumber_Subtract                                  -      -            
     0.00%  [.] _PyErr_NormalizeException                          -      -            
     0.00%  [.] _PyMem_RawMalloc                                   -      -            
     0.00%  [.] _PyObject_GenericSetAttrWithDict                   -      -            
     0.00%  [.] __memcmp_avx2_movbe                                -      -            
     0.00%  [.] advance                                            -      -            
     0.00%  [.] check_match                                        -      -            
     0.00%  [.] count_run                                          -      -            
     0.00%  [.] gc_collect_main                                    -      -            
     0.00%  [.] list_append.lto_priv.0                             -      -            
     0.00%  [.] list_item.lto_priv.0                               -      -            
     0.00%  [.] set_traverse.lto_priv.0                            -      -            
     0.00%  [.] tb_dealloc.lto_priv.0                              -      -            
     0.00%  [.] type_getattro.lto_priv.0                           -      -            
     0.00%  [.] unicode_compare_eq                                 -      -            
     0.00%  [k] 0xffffffff824c7383                                 -      -            
     0.00%  [k] 0xffffffff8256b2e5                                 -      -            
     0.00%  [k] 0xffffffff8265111c                                 -      -            
     0.00%  [.] BaseException_dealloc.lto_priv.0                   -      -            
     0.00%  [.] PyBytes_FromStringAndSize                          -      -            
     0.00%  [.] PyList_AsTuple                                     -      -            
     0.00%  [.] PyNumber_Index                                     -      -            
     0.00%  [.] PySlice_AdjustIndices                              -      -            
     0.00%  [.] PySlice_Unpack                                     -      -            
     0.00%  [.] add_operators.lto_priv.0                           -      -            
     0.00%  [.] float_neg.lto_priv.0                               -      -            
     0.00%  [.] insert_to_freepool                                 -      -            
     0.00%  [.] list_preallocate_exact                             -      -            
     0.00%  [.] long_new.lto_priv.0                                -      -            
     0.00%  [.] long_new_impl.lto_priv.0                           -      -            
     0.00%  [.] make_range_object.lto_priv.0                       -      -            
     0.00%  [.] merge_force_collapse                               -      -            
     0.00%  [.] module_getattro.lto_priv.0                         -      -            
     0.00%  [.] r_byte                                             -      -            
     0.00%  [.] set_add_key                                        -      -            
     0.00%  [.] strcmp                                             -      -            
     0.00%  [.] super_getattro.lto_priv.0                          -      -            
     0.00%  [.] unicode_eq                                         -      -            
     0.00%  [.] unlink_chunk.constprop.0                           -      -            
     0.00%  [k] 0xffffffff826dea1d                                 -      -            
     0.00%  [k] 0xffffffff8270f626                                 -      -            
     0.00%  [.] PyCode_Addr2Line                                   -      -            
     0.00%  [.] PyException_SetTraceback                           -      -            
     0.00%  [.] PyMem_Free                                         -      -            
     0.00%  [.] PyMem_RawMalloc                                    -      -            
     0.00%  [.] PyNumber_TrueDivide                                -      -            
     0.00%  [.] PyObject_Call                                      -      -            
     0.00%  [.] PyUnicode_FromKindAndData                          -      -            
